CD_GEOCMU,Nome Município,Estado,Agrupamento,Conjunto,Condição
3531001,MONÇÕES,São Paulo,Votuporanga,Sem conjunto,Meta
3531100,MONGAGUÁ,São Paulo,Baixada,Sem conjunto,Meta
3531209,MONTE ALEGRE DO SUL,São Paulo,Amparo,SP07,1º Marco
3531308,MONTE ALTO,São Paulo,Jaboticabal,SP03,1º Marco
3531407,MONTE APRAZÍVEL,São Paulo,São José do Rio Preto,SP02,Incipiente
3531506,MONTE AZUL PAULISTA,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3531605,MONTE CASTELO,São Paulo,Tupi Paulista,Sem conjunto,Meta
3531803,MONTE MOR,São Paulo,Indaiatuba,SP05,1º Marco
3531704,MONTEIRO LOBATO,São Paulo,estrela do Vale,SP04,2º Marco
3531902,MORRO AGUDO,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3532009,MORUNGABA,São Paulo,Jarinu,SP06,1º Marco
3532058,MOTUCA,São Paulo,Araraquara,Sem conjunto,Meta
3532108,MURUTINGA DO SUL,São Paulo,Andradina,SP02,1º Marco
3532157,NANTES,São Paulo,Rancharia,Sem conjunto,Meta
3532207,NARANDIBA,São Paulo,Rancharia,Sem conjunto,Meta
3532306,NATIVIDADE DA SERRA,São Paulo,Campos do Jordão,Sem conjunto,Meta
3532405,NAZARÉ PAULISTA,São Paulo,Jarinu,SP06,1º Marco
